SA3_CODE_2021,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P
10102,432.0,438.0,871.0,436.0,407.0,847.0,456.0,416.0,871.0
10103,94.0,101.0,192.0,86.0,90.0,173.0,117.0,99.0,213.0
10104,327.0,300.0,627.0,332.0,299.0,623.0,379.0,343.0,723.0
10105,251.0,236.0,482.0,235.0,199.0,430.0,220.0,220.0,442.0
10106,229.0,203.0,436.0,230.0,209.0,438.0,255.0,221.0,477.0
10201,935.0,879.0,1816.0,957.0,874.0,1831.0,1138.0,988.0,2122.0
10202,991.0,967.0,1962.0,1009.0,957.0,1962.0,1074.0,1025.0,2096.0
10301,269.0,255.0,527.0,299.0,230.0,526.0,289.0,311.0,602.0
10302,342.0,324.0,671.0,359.0,318.0,674.0,348.0,352.0,702.0
10303,256.0,274.0,529.0,274.0,217.0,491.0,322.0,300.0,622.0
10304,412.0,357.0,772.0,423.0,404.0,828.0,452.0,435.0,881.0
10401,272.0,249.0,518.0,253.0,257.0,509.0,295.0,260.0,554.0
10402,448.0,457.0,907.0,517.0,461.0,976.0,551.0,482.0,1035.0
10501,178.0,148.0,327.0,155.0,158.0,309.0,158.0,147.0,302.0
10502,111.0,110.0,218.0,125.0,107.0,226.0,112.0,120.0,228.0
10503,519.0,494.0,1017.0,495.0,474.0,964.0,495.0,498.0,991.0
10601,673.0,595.0,1269.0,688.0,593.0,1280.0,730.0,670.0,1398.0
10602,626.0,562.0,1187.0,587.0,596.0,1181.0,617.0,616.0,1233.0
10603,305.0,351.0,658.0,376.0,359.0,738.0,446.0,397.0,841.0
10604,183.0,154.0,348.0,201.0,188.0,393.0,229.0,198.0,427.0
10701,518.0,459.0,975.0,519.0,489.0,1010.0,560.0,470.0,1023.0
10702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10703,600.0,539.0,1138.0,573.0,533.0,1105.0,637.0,616.0,1248.0
10704,721.0,695.0,1409.0,740.0,624.0,1366.0,781.0,748.0,1523.0
10801,136.0,95.0,235.0,118.0,123.0,243.0,145.0,138.0,280.0
10802,287.0,226.0,516.0,269.0,245.0,517.0,287.0,269.0,561.0
10803,0.0,0.0,4.0,0.0,3.0,3.0,3.0,3.0,9.0
10804,396.0,371.0,760.0,379.0,355.0,731.0,468.0,428.0,895.0
10805,253.0,268.0,523.0,245.0,281.0,522.0,269.0,279.0,552.0
10901,394.0,409.0,801.0,446.0,398.0,841.0,444.0,441.0,885.0
10902,83.0,100.0,184.0,69.0,81.0,149.0,73.0,63.0,138.0
10903,233.0,203.0,435.0,214.0,211.0,431.0,240.0,191.0,430.0
11001,203.0,181.0,383.0,200.0,204.0,404.0,221.0,219.0,431.0
11002,230.0,191.0,416.0,179.0,164.0,338.0,204.0,207.0,406.0
11003,171.0,145.0,318.0,171.0,117.0,290.0,175.0,175.0,350.0
11004,566.0,503.0,1063.0,565.0,491.0,1053.0,583.0,556.0,1140.0
11101,692.0,622.0,1323.0,649.0,666.0,1315.0,809.0,766.0,1574.0
