State,SA3_Code,SA3_Name,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
ACT,NM,Not mapped,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80101,Belconnen,1 Year olds,95.93998235,95.85172109,95.85172109,96.46954987,0,96.55781112,0,0,95.58693733
ACT,80102,Cotter - Namadgi,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80103,Canberra East,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80104,Gungahlin,1 Year olds,95.25043178,95.25043178,95.16407599,96.02763385,0,96.20034542,0,0,94.90500864
ACT,80105,North Canberra,1 Year olds,96.0591133,96.30541872,95.81280788,96.79802956,0,97.04433498,0,0,95.56650246
ACT,80106,South Canberra,1 Year olds,97.2972973,96.84684685,96.84684685,98.1981982,0,98.1981982,0,0,96.3963964
ACT,80107,Tuggeranong,1 Year olds,95.29411765,95.29411765,95.29411765,95.83710407,0,95.6561086,0,0,94.9321267
ACT,80108,Weston Creek,1 Year olds,97.24409449,97.24409449,98.03149606,98.03149606,0,98.42519685,0,0,97.24409449
ACT,80109,Woden Valley,1 Year olds,92.36641221,91.85750636,91.85750636,93.63867684,0,93.38422392,0,0,90.58524173
ACT,80110,Molonglo,1 Year olds,97.05882353,97.05882353,96.69117647,97.79411765,0,98.16176471,0,0,95.95588235
ACT,80111,Uriarra - Namadgi,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,90103,Jervis Bay,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,NM,Not mapped,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80101,Belconnen,2 Year olds,94.51585261,97.51499572,95.37275064,97.94344473,94.60154242,96.9151671,96.74378749,95.02999143,93.14481577
ACT,80102,Cotter - Namadgi,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80103,Canberra East,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80104,Gungahlin,2 Year olds,94.73684211,96.65831245,95.32163743,97.07602339,94.73684211,96.65831245,96.07351713,94.90392648,92.48120301
ACT,80105,North Canberra,2 Year olds,95.24940618,97.62470309,96.43705463,98.09976247,95.01187648,96.19952494,95.96199525,95.96199525,93.34916865
ACT,80106,South Canberra,2 Year olds,90.23255814,95.81395349,92.09302326,96.27906977,92.09302326,94.88372093,93.95348837,90.69767442,88.37209302
ACT,80107,Tuggeranong,2 Year olds,93.3396765,96.09895338,94.10085633,96.38439581,93.62511893,95.14747859,95.24262607,93.72026641,92.48334919
ACT,80108,Weston Creek,2 Year olds,94.25287356,96.16858238,94.25287356,96.16858238,94.25287356,95.40229885,95.40229885,94.25287356,93.48659004
ACT,80109,Woden Valley,2 Year olds,92.8,96.8,94.4,97.06666667,93.33333333,93.86666667,94.93333333,93.06666667,91.2
ACT,80110,Molonglo,2 Year olds,93.88489209,97.12230216,94.96402878,97.48201439,94.60431655,96.04316547,96.4028777,94.60431655,92.44604317
ACT,80111,Uriarra - Namadgi,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,90103,Jervis Bay,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,NM,Not mapped,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80101,Belconnen,5 Year olds,95.05976096,95.53784861,0,0,0,0,0,0,95.05976096
ACT,80102,Cotter - Namadgi,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80103,Canberra East,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,80104,Gungahlin,5 Year olds,96.50297619,96.65178571,0,0,0,0,0,0,96.35416667
ACT,80105,North Canberra,5 Year olds,92.96375267,93.81663113,0,0,0,0,0,0,92.96375267
ACT,80106,South Canberra,5 Year olds,89.92805755,91.00719424,0,0,0,0,0,0,89.56834532
ACT,80107,Tuggeranong,5 Year olds,95.54950045,95.36784741,0,0,0,0,0,0,95.27702089
ACT,80108,Weston Creek,5 Year olds,96.83098592,96.47887324,0,0,0,0,0,0,96.47887324
ACT,80109,Woden Valley,5 Year olds,90.57017544,91.22807018,0,0,0,0,0,0,90.57017544
ACT,80110,Molonglo,5 Year olds,95.47325103,95.88477366,0,0,0,0,0,0,95.47325103
ACT,80111,Uriarra - Namadgi,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
ACT,90103,Jervis Bay,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
NSW,NM,Not mapped,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
NSW,10101,Goulburn - Yass,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
NSW,10102,Queanbeyan,1 Year olds,95.01738123,94.90150637,94.78563152,95.5967555,0,96.06025492,0,0,94.66975666
NSW,10103,Snowy Mountains,1 Year olds,90.4494382,90.4494382,90.4494382,91.01123596,0,91.57303371,0,0,90.4494382
NSW,10104,South Coast,1 Year olds,89.36535163,89.36535163,89.36535163,91.42367067,0,91.25214408,0,0,89.02229846
NSW,10105,Goulburn - Mulwaree,1 Year olds,92.38095238,92.38095238,92.38095238,92.85714286,0,93.80952381,0,0,91.9047619
NSW,10106,Young - Yass,1 Year olds,95.05882353,95.05882353,95.05882353,95.52941176,0,95.05882353,0,0,94.35294118
NSW,10201,Gosford,1 Year olds,92.89017341,92.89017341,92.77456647,93.41040462,0,94.16184971,0,0,92.60115607
NSW,10202,Wyong,1 Year olds,93.08731809,93.03534304,92.93139293,93.45114345,0,94.28274428,0,0,92.77546778
NSW,10301,Bathurst,1 Year olds,95.15859766,95.15859766,95.15859766,96.32721202,0,95.8263773,0,0,94.65776294
NSW,10302,Lachlan Valley,1 Year olds,94.17322835,94.17322835,94.17322835,94.80314961,0,95.43307087,0,0,94.17322835
NSW,10303,Lithgow - Mudgee,1 Year olds,94.50101833,94.50101833,94.50101833,94.70468432,0,95.11201629,0,0,94.50101833
NSW,10304,Orange,1 Year olds,96.41434263,96.41434263,96.41434263,97.47675963,0,96.94555113,0,0,95.61752988
NSW,10401,Clarence Valley,1 Year olds,90.3030303,90.3030303,90.50505051,91.11111111,0,92.32323232,0,0,89.8989899
NSW,10402,Coffs Harbour,1 Year olds,88.74598071,88.63879957,88.53161844,90.03215434,0,90.88960343,0,0,87.99571275
NSW,10501,Bourke - Cobar - Coonamble,1 Year olds,93.75,93.75,93.75,97.1875,0,97.1875,0,0,93.75
NSW,10502,Broken Hill and Far West,1 Year olds,95.70815451,95.70815451,96.13733906,96.99570815,0,97.85407725,0,0,95.70815451
NSW,10503,Dubbo,1 Year olds,94.80651731,94.80651731,94.70468432,95.62118126,0,95.92668024,0,0,94.50101833
NSW,10601,Lower Hunter,1 Year olds,92.80898876,92.7340824,92.7340824,93.4082397,0,94.082397,0,0,92.58426966
NSW,10602,Maitland,1 Year olds,94.96,94.96,94.96,95.28,0,95.92,0,0,94.72
NSW,10603,Port Stephens,1 Year olds,90.26275116,90.26275116,90.26275116,91.80834621,0,91.3446677,0,0,90.10819165
NSW,10604,Upper Hunter,1 Year olds,95.54896142,95.54896142,95.54896142,96.73590504,0,97.32937685,0,0,95.54896142
NSW,10701,Dapto - Port Kembla,1 Year olds,92.32323232,92.42424242,92.22222222,93.73737374,0,94.14141414,0,0,92.02020202
NSW,10702,Illawarra Catchment Reserve,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
NSW,10703,Kiama - Shellharbour,1 Year olds,92.98701299,92.98701299,92.98701299,93.76623377,0,94.02597403,0,0,92.72727273
NSW,10704,Wollongong,1 Year olds,94.08560311,94.16342412,94.16342412,95.48638132,0,95.64202335,0,0,93.61867704
NSW,10801,Great Lakes,1 Year olds,88.37209302,88.37209302,88.37209302,88.8372093,0,89.76744186,0,0,87.90697674
NSW,10802,Kempsey - Nambucca,1 Year olds,85.82995951,85.82995951,85.82995951,88.66396761,0,88.66396761,0,0,85.42510121
NSW,10803,Lord Howe Island,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
NSW,10804,Port Macquarie,1 Year olds,91.60401003,91.60401003,91.60401003,92.60651629,0,92.48120301,0,0,91.10275689
NSW,10805,Taree - Gloucester,1 Year olds,91.24767225,91.24767225,91.06145251,91.62011173,0,91.62011173,0,0,90.68901304
NSW,10901,Albury,1 Year olds,91.11922141,91.11922141,91.11922141,91.11922141,0,92.33576642,0,0,90.51094891
NSW,10902,Lower Murray,1 Year olds,93.79310345,93.79310345,93.79310345,96.55172414,0,97.24137931,0,0,93.79310345
NSW,10903,Upper Murray exc. Albury,1 Year olds,94.6969697,94.6969697,94.6969697,94.94949495,0,94.94949495,0,0,94.6969697
NSW,11001,Armidale,1 Year olds,92.53333333,92.8,92.53333333,93.6,0,93.6,0,0,91.46666667
NSW,11002,Inverell - Tenterfield,1 Year olds,89.32038835,89.32038835,89.32038835,91.01941748,0,91.74757282,0,0,89.32038835
NSW,11003,Moree - Narrabri,1 Year olds,94.56193353,94.56193353,94.56193353,94.86404834,0,95.77039275,0,0,94.25981873
NSW,11004,Tamworth - Gunnedah,1 Year olds,94.68186135,94.68186135,94.68186135,95.82146249,0,96.2962963,0,0,94.39696106
NSW,11101,Lake Macquarie - East,1 Year olds,93.05993691,92.98107256,93.05993691,93.69085174,0,94.16403785,0,0,92.58675079
NSW,11102,Lake Macquarie - West,1 Year olds,92.21719457,92.21719457,92.21719457,92.39819005,0,92.66968326,0,0,91.76470588
